text,values_json
"Resumen corto: Roberto Marín Rentería, DNI 62274692, 3 de agosto del 2005, 912621534, Calle Brasil 6489, Casitas, Lima.","{""NOMBRES"": ""Roberto"", ""APELLIDOS"": ""Marín Rentería"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""62274692"", ""FECHA_NAC"": ""3 de agosto del 2005"", ""TELEFONO"": ""912621534"", ""DISTRITO"": ""Casitas"", ""DIRECCION"": ""Calle Brasil 6489""}"
Rafael Ortega; doc: DNI 75529051; F. nac.: 05/11/1974; tel.: +51 975181765; Lima–Huaricolca; Psje. Los Álamos 8851 Mz F.,"{""NOMBRES"": ""Rafael"", ""APELLIDOS"": ""Ortega"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""75529051"", ""FECHA_NAC"": ""05/11/1974"", ""TELEFONO"": ""+51 975181765"", ""DISTRITO"": ""Huaricolca"", ""DIRECCION"": ""Psje. Los Álamos 8851 Mz F""}"
"Declaro que me llamo María Camila Flores Figueroa; mi DNI n.º 16749089; nací el 02/09/1976; teléfono +51-938408562; vivo en Psje. Brasil 1441 , distrito Huaricolca, Lima.","{""NOMBRES"": ""María Camila"", ""APELLIDOS"": ""Flores Figueroa"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""16749089"", ""FECHA_NAC"": ""02/09/1976"", ""TELEFONO"": ""+51-938408562"", ""DISTRITO"": ""Huaricolca"", ""DIRECCION"": ""Psje. Brasil 1441 ""}"
"Declaro bajo juramento: me llamo Maria de los Angeles Ramos Campos, identificado con DNI 97477029, nacido el 22 de octubre del 1966, teléfono +51 943189803, con domicilio en Psje. Bolognesi 1974, Independencia, Lima.","{""NOMBRES"": ""Maria de los Angeles"", ""APELLIDOS"": ""Ramos Campos"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""97477029"", ""FECHA_NAC"": ""22 de octubre del 1966"", ""TELEFONO"": ""+51 943189803"", ""DISTRITO"": ""Independencia"", ""DIRECCION"": ""Psje. Bolognesi 1974""}"
Datos básicos: Francisco Cárdenas Calla; DNI 25372341; 22 de noviembre del 1999; +51 951746937; Psje. Primavera 3349 ; La Victoria; Lima.,"{""NOMBRES"": ""Francisco"", ""APELLIDOS"": ""Cárdenas Calla"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""25372341"", ""FECHA_NAC"": ""22 de noviembre del 1999"", ""TELEFONO"": ""+51 951746937"", ""DISTRITO"": ""La Victoria"", ""DIRECCION"": ""Psje. Primavera 3349 ""}"
Contacto del titular Juan Gamarra Bolaños — +51-981503856 — DNI 85958181 — 09/02/2000 — Dirección Av. Primavera 8131 Interior 17 — Distrito Caraz — Lima.,"{""NOMBRES"": ""Juan"", ""APELLIDOS"": ""Gamarra Bolaños"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""85958181"", ""FECHA_NAC"": ""09/02/2000"", ""TELEFONO"": ""+51-981503856"", ""DISTRITO"": ""Caraz"", ""DIRECCION"": ""Av. Primavera 8131 Interior 17""}"
Información del titular: Rosa Wilmer Olivares Quispehuamán; DNI 82232344; fecha de nacimiento 01/10/1999; celular 968461818; dirección Av. Brasil 7485 Mz G; distrito Contumazá; Lima.,"{""NOMBRES"": ""Rosa Wilmer"", ""APELLIDOS"": ""Olivares Quispehuamán"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""82232344"", ""FECHA_NAC"": ""01/10/1999"", ""TELEFONO"": ""968461818"", ""DISTRITO"": ""Contumazá"", ""DIRECCION"": ""Av. Brasil 7485 Mz G""}"
Información básica — Nombres: Yessica | Apellidos: Tello Beltrán | DNI: 55679506 | F. nac.: 18 de julio del 1977 | Cel.: 947080140 | Dir.: Psje. Grau 9196 | Dist.: Tambillo | Lima.,"{""NOMBRES"": ""Yessica"", ""APELLIDOS"": ""Tello Beltrán"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""55679506"", ""FECHA_NAC"": ""18 de julio del 1977"", ""TELEFONO"": ""947080140"", ""DISTRITO"": ""Tambillo"", ""DIRECCION"": ""Psje. Grau 9196""}"
Contacto del titular Luis Miguel Martínez-Ortega — 942 655 866 — DNI 49491631 — 10/12/1974 — Dirección Calle Primavera 9117  — Distrito Pomahuaca — Lima.,"{""NOMBRES"": ""Luis Miguel"", ""APELLIDOS"": ""Martínez-Ortega"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""49491631"", ""FECHA_NAC"": ""10/12/1974"", ""TELEFONO"": ""942 655 866"", ""DISTRITO"": ""Pomahuaca"", ""DIRECCION"": ""Calle Primavera 9117 ""}"
"Mis nombres: Carla Víctor Hugo; mis apellidos: Ramírez Padilla; mi doc.: DNI 34850391; nací el 05/08/1973; mi cel: 974 988 034; vivo en Av. Progreso 4953 Depto 490, Bambamarca, Lima.","{""NOMBRES"": ""Carla Víctor Hugo"", ""APELLIDOS"": ""Ramírez Padilla"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""34850391"", ""FECHA_NAC"": ""05/08/1973"", ""TELEFONO"": ""974 988 034"", ""DISTRITO"": ""Bambamarca"", ""DIRECCION"": ""Av. Progreso 4953 Depto 490""}"
Se consigna: Gabriela Marco Antonio Figueroa Valencia / DNI 26948946 / nacido el 12 de agosto del 1993 / contacto +51 975884623 / domicilio Psje. La Unión 3120 / distrito Chorrillos / Lima.,"{""NOMBRES"": ""Gabriela Marco Antonio"", ""APELLIDOS"": ""Figueroa Valencia"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""26948946"", ""FECHA_NAC"": ""12 de agosto del 1993"", ""TELEFONO"": ""+51 975884623"", ""DISTRITO"": ""Chorrillos"", ""DIRECCION"": ""Psje. La Unión 3120""}"
Nombre Andrés; Apellido(s) Vásquez Salgado; DNI 87446468; F. nac 27-03-1993; Cel +51 930364454; Dir Urb. Los Olivos 6918; Lima–Baños del Inca.,"{""NOMBRES"": ""Andrés"", ""APELLIDOS"": ""Vásquez Salgado"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""87446468"", ""FECHA_NAC"": ""27-03-1993"", ""TELEFONO"": ""+51 930364454"", ""DISTRITO"": ""Baños del Inca"", ""DIRECCION"": ""Urb. Los Olivos 6918""}"
Rafael; Núñez Nieves; DNI: 50987442; Fecha de nac.: 05-07-1990; Cel.: 991823275; Dir.: Calle Bolognesi 1430 Depto 491; Dist.: Cayma; Lima.,"{""NOMBRES"": ""Rafael"", ""APELLIDOS"": ""Núñez Nieves"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""50987442"", ""FECHA_NAC"": ""05-07-1990"", ""TELEFONO"": ""991823275"", ""DISTRITO"": ""Cayma"", ""DIRECCION"": ""Calle Bolognesi 1430 Depto 491""}"
"Víctor Díaz Colque, documento DNI n° 47945817, fecha de nacimiento 14 de julio del 1996, fono 919553585, dirección Jr. Primavera 1980, distrito Cuenca, Lima.","{""NOMBRES"": ""Víctor"", ""APELLIDOS"": ""Díaz Colque"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""47945817"", ""FECHA_NAC"": ""14 de julio del 1996"", ""TELEFONO"": ""919553585"", ""DISTRITO"": ""Cuenca"", ""DIRECCION"": ""Jr. Primavera 1980""}"
"Perfil: José Luis Hoyos-Zúñiga | DNI: 51286958 | Nacimiento: 11-09-1991 | Teléfono: 986397676 | Psje. Brasil 8299 | Pacocha, Lima.","{""NOMBRES"": ""José Luis"", ""APELLIDOS"": ""Hoyos-Zúñiga"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""51286958"", ""FECHA_NAC"": ""11-09-1991"", ""TELEFONO"": ""986397676"", ""DISTRITO"": ""Pacocha"", ""DIRECCION"": ""Psje. Brasil 8299""}"
"Identificación: Ana Lucia Cisneros Costa (DNI 91029073); Nacimiento 26/03/1976; Contacto 940725714; Domicilio Calle La Paz 759, Distrito Concepción, Lima.","{""NOMBRES"": ""Ana Lucia"", ""APELLIDOS"": ""Cisneros Costa"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""91029073"", ""FECHA_NAC"": ""26/03/1976"", ""TELEFONO"": ""940725714"", ""DISTRITO"": ""Concepción"", ""DIRECCION"": ""Calle La Paz 759""}"
Registro: Nombres Nicolas; Apellidos Nieves Yucra; DNI 75998319; Fecha de nacimiento 03/02/1969; Teléfono 964 807 553; Dirección Psje. Brasil 6661; Ciudad Lima; Distrito Parinari.,"{""NOMBRES"": ""Nicolas"", ""APELLIDOS"": ""Nieves Yucra"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""75998319"", ""FECHA_NAC"": ""03/02/1969"", ""TELEFONO"": ""964 807 553"", ""DISTRITO"": ""Parinari"", ""DIRECCION"": ""Psje. Brasil 6661""}"
"Declaro que me llamo Luis Fernando Ramos Peña; mi DNI n.º 64247457; nací el 19-10-2003; teléfono 910154493; vivo en Urb. La Unión 8267, distrito Huancavelica, Lima.","{""NOMBRES"": ""Luis Fernando"", ""APELLIDOS"": ""Ramos Peña"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""64247457"", ""FECHA_NAC"": ""19-10-2003"", ""TELEFONO"": ""910154493"", ""DISTRITO"": ""Huancavelica"", ""DIRECCION"": ""Urb. La Unión 8267""}"
Datos mínimos: Elizabeth Andrea Sandoval; DNI 75056916; 13/06/1970; Av. Bolívar 6784 ; Veintiséis de Octubre; Lima; Tel. 994560158.,"{""NOMBRES"": ""Elizabeth Andrea"", ""APELLIDOS"": ""Sandoval"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""75056916"", ""FECHA_NAC"": ""13/06/1970"", ""TELEFONO"": ""994560158"", ""DISTRITO"": ""Veintiséis de Octubre"", ""DIRECCION"": ""Av. Bolívar 6784 ""}"
"Contacto: Rosa María Palacios Cornejo / DNI 49172995 / Nacido: 30-10-1987 / Cel: 965766169 / Psje. Progreso 9920, Pisco, Lima.","{""NOMBRES"": ""Rosa María"", ""APELLIDOS"": ""Palacios Cornejo"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""49172995"", ""FECHA_NAC"": ""30-10-1987"", ""TELEFONO"": ""965766169"", ""DISTRITO"": ""Pisco"", ""DIRECCION"": ""Psje. Progreso 9920""}"
"Completo: Miguel Angel Hancco Caceres; DNI N° 55617282; F. Nac.: 28 de noviembre del 2006; Cel.: 945859307; Domicilio: Urb. Bolognesi 8122, Lobitos, Lima.","{""NOMBRES"": ""Miguel Angel"", ""APELLIDOS"": ""Hancco Caceres"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""55617282"", ""FECHA_NAC"": ""28 de noviembre del 2006"", ""TELEFONO"": ""945859307"", ""DISTRITO"": ""Lobitos"", ""DIRECCION"": ""Urb. Bolognesi 8122""}"
"Rafael Barrios Delgado, documento DNI n° 35320492, fecha de nacimiento 15/04/1996, fono 961 401 477, dirección Psje. Libertad 6346 , distrito Tuti, Lima.","{""NOMBRES"": ""Rafael"", ""APELLIDOS"": ""Barrios Delgado"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""35320492"", ""FECHA_NAC"": ""15/04/1996"", ""TELEFONO"": ""961 401 477"", ""DISTRITO"": ""Tuti"", ""DIRECCION"": ""Psje. Libertad 6346 ""}"
"Solicito registrar: Ana Lucía Cordova Pacheco; DNI 54559574; fecha 06/01/2004; celular +51 969096899; domicilio Psje. Bolognesi 2629 Interior 1, Kaquiabamba, Lima.","{""NOMBRES"": ""Ana Lucía"", ""APELLIDOS"": ""Cordova Pacheco"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""54559574"", ""FECHA_NAC"": ""06/01/2004"", ""TELEFONO"": ""+51 969096899"", ""DISTRITO"": ""Kaquiabamba"", ""DIRECCION"": ""Psje. Bolognesi 2629 Interior 1""}"
Ficha personal: Renzo Valdez Marin | Doc DNI: 61003997 | Nac. 20/10/2007 | Tel 975491202 | Dir Calle Progreso 1580  | Dist Lurín | Lima.,"{""NOMBRES"": ""Renzo"", ""APELLIDOS"": ""Valdez Marin"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""61003997"", ""FECHA_NAC"": ""20/10/2007"", ""TELEFONO"": ""975491202"", ""DISTRITO"": ""Lurín"", ""DIRECCION"": ""Calle Progreso 1580 ""}"
"Yo, Sofia Cuevas-Delgado; DNI 58112135; F. nac. 25/10/1981; tel. 942775624; resido en Lima, Jesús, Av. La Paz 6367.","{""NOMBRES"": ""Sofia"", ""APELLIDOS"": ""Cuevas-Delgado"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""58112135"", ""FECHA_NAC"": ""25/10/1981"", ""TELEFONO"": ""942775624"", ""DISTRITO"": ""Jesús"", ""DIRECCION"": ""Av. La Paz 6367""}"
Se consigna: Marco Antonio Bolanos Luna / DNI 44088261 / nacido el 13/08/1985 / contacto 911261301 / domicilio Psje. La Unión 9726 Mz B / distrito Pueblo Nuevo / Lima.,"{""NOMBRES"": ""Marco Antonio"", ""APELLIDOS"": ""Bolanos Luna"", ""TIPO_DOC"": ""DNI"", ""DNI"": ""44088261"", ""FECHA_NAC"": ""13/08/1985"", ""TELEFONO"": ""911261301"", ""DISTRITO"": ""Pueblo Nuevo"", ""DIRECCION"": ""Psje. La Unión 9726 Mz B""}"
