text,tokens,tags
"Titular Carlos Rojas, documento 38427073, vive en Jr. Ramírez 5207, San Borja.","Titular Carlos Rojas , documento 38427073 , vive en Jr . Ramírez 5207 , San Borja .",O B-NOMBRE B-APELLIDO O O B-DNI O O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
El DNI es 26240908; el titular José Pérez Rojas; nació el 22 de mayo de 1996.,El DNI es 26240908 ; el titular José Pérez Rojas ; nació el 22 de mayo de 1996 .,O O O B-DNI O O O B-NOMBRE B-APELLIDO I-APELLIDO O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"María García Ramírez; teléfono +51 917901903; DNI 94705205; domicilio Jr. García 614, San Isidro.","María García Ramírez ; teléfono + 51 917901903 ; DNI 94705205 ; domicilio Jr . García 614 , San Isidro .",B-NOMBRE B-APELLIDO I-APELLIDO O O B-TELEFONO I-TELEFONO I-TELEFONO O O B-DNI O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"María Rojas Flores; teléfono +51 927758595; DNI 82374753; domicilio Psje. Flores 7849, San Borja.","María Rojas Flores ; teléfono + 51 927758595 ; DNI 82374753 ; domicilio Psje . Flores 7849 , San Borja .",B-NOMBRE B-APELLIDO I-APELLIDO O O B-TELEFONO I-TELEFONO I-TELEFONO O O B-DNI O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Registrar: Juan Quispe, DNI 66851760, celular +51 965177213.","Registrar : Juan Quispe , DNI 66851760 , celular + 51 965177213 .",O O B-NOMBRE B-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
Soy Ana García Flores; DNI 35714784; fecha de nacimiento 30 de junio de 1982.,Soy Ana García Flores ; DNI 35714784 ; fecha de nacimiento 30 de junio de 1982 .,O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Actualiza: María García, Av. García 8956, Lima, +51 983863413, 69476001.","Actualiza : María García , Av . García 8956 , Lima , + 51 983863413 , 69476001 .",O O B-NOMBRE B-APELLIDO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-TELEFONO I-TELEFONO I-TELEFONO O B-DNI O
"Datos: María Rojas Flores — 63826716 — +51 917869910 — Jr. Rojas 135, San Borja.","Datos : María Rojas Flores — 63826716 — + 51 917869910 — Jr . Rojas 135 , San Borja .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Actualiza: José Ramírez Pérez, Jr. Flores 4961, Miraflores, +51 975319931, 98834863.","Actualiza : José Ramírez Pérez , Jr . Flores 4961 , Miraflores , + 51 975319931 , 98834863 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-TELEFONO I-TELEFONO I-TELEFONO O B-DNI O
"Formulario: Ana Ramírez Quispe, 17672593, +51 916729990, Psje. Pérez 8801, Miraflores, nacido el 20 de julio de 1972.","Formulario : Ana Ramírez Quispe , 17672593 , + 51 916729990 , Psje . Pérez 8801 , Miraflores , nacido el 20 de julio de 1972 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Juan García; teléfono +51 919121552; DNI 89864260; domicilio Jr. Rojas 2064, Surco.","Juan García ; teléfono + 51 919121552 ; DNI 89864260 ; domicilio Jr . Rojas 2064 , Surco .",B-NOMBRE B-APELLIDO O O B-TELEFONO I-TELEFONO I-TELEFONO O O B-DNI O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Formulario: Carlos García Rojas, 98231132, +51 988339168, Calle Quispe 3446, San Isidro, nacido el 15 de septiembre de 1980.","Formulario : Carlos García Rojas , 98231132 , + 51 988339168 , Calle Quispe 3446 , San Isidro , nacido el 15 de septiembre de 1980 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Titular Lucía Ramírez Quispe, documento 71367643, vive en Av. García 7608, Surco.","Titular Lucía Ramírez Quispe , documento 71367643 , vive en Av . García 7608 , Surco .",O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Registrar: Juan Pérez Quispe, DNI 27778019, celular +51 956843172.","Registrar : Juan Pérez Quispe , DNI 27778019 , celular + 51 956843172 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
"Actualiza: Carlos Pérez, Av. Ramírez 9186, San Isidro, +51 980993218, 97775215.","Actualiza : Carlos Pérez , Av . Ramírez 9186 , San Isidro , + 51 980993218 , 97775215 .",O O B-NOMBRE B-APELLIDO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-TELEFONO I-TELEFONO I-TELEFONO O B-DNI O
"Registrar: María García Pérez, DNI 30863865, celular +51 946553958.","Registrar : María García Pérez , DNI 30863865 , celular + 51 946553958 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
El DNI es 75569635; el titular Ana Pérez; nació el 24 de diciembre de 1971.,El DNI es 75569635 ; el titular Ana Pérez ; nació el 24 de diciembre de 1971 .,O O O B-DNI O O O B-NOMBRE B-APELLIDO O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
Mi nombre es José Ramírez y mi DNI es 45159040.,Mi nombre es José Ramírez y mi DNI es 45159040 .,O O O B-NOMBRE B-APELLIDO O O O O B-DNI O
"Registrar: Juan Ramírez, DNI 30005727, celular +51 983227889.","Registrar : Juan Ramírez , DNI 30005727 , celular + 51 983227889 .",O O B-NOMBRE B-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
Soy María Quispe García; DNI 58024342; fecha de nacimiento 29 de diciembre de 2004.,Soy María Quispe García ; DNI 58024342 ; fecha de nacimiento 29 de diciembre de 2004 .,O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Lucía Ramírez; teléfono +51 941774346; DNI 30743797; domicilio Jr. Flores 6855, Lima.","Lucía Ramírez ; teléfono + 51 941774346 ; DNI 30743797 ; domicilio Jr . Flores 6855 , Lima .",B-NOMBRE B-APELLIDO O O B-TELEFONO I-TELEFONO I-TELEFONO O O B-DNI O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Contacto José Rojas — +51 943308443 — Calle Flores 1871, San Borja — 99913412.","Contacto José Rojas — + 51 943308443 — Calle Flores 1871 , San Borja — 99913412 .",O B-NOMBRE B-APELLIDO O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-DNI O
"Actualiza: María Rojas Quispe, Jr. García 3264, San Borja, +51 940547349, 50962024.","Actualiza : María Rojas Quispe , Jr . García 3264 , San Borja , + 51 940547349 , 50962024 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-TELEFONO I-TELEFONO I-TELEFONO O B-DNI O
"Titular Juan Quispe, documento 57130035, vive en Psje. Ramírez 8885, San Isidro.","Titular Juan Quispe , documento 57130035 , vive en Psje . Ramírez 8885 , San Isidro .",O B-NOMBRE B-APELLIDO O O B-DNI O O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Registrar: José Quispe García, DNI 24549543, celular +51 990070438.","Registrar : José Quispe García , DNI 24549543 , celular + 51 990070438 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
"Juan Pérez Flores; teléfono +51 915957459; DNI 44188276; domicilio Psje. García 8618, Surco.","Juan Pérez Flores ; teléfono + 51 915957459 ; DNI 44188276 ; domicilio Psje . García 8618 , Surco .",B-NOMBRE B-APELLIDO I-APELLIDO O O B-TELEFONO I-TELEFONO I-TELEFONO O O B-DNI O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Contacto Ana Flores — +51 967887757 — Av. Ramírez 5509, Surco — 58884978.","Contacto Ana Flores — + 51 967887757 — Av . Ramírez 5509 , Surco — 58884978 .",O B-NOMBRE B-APELLIDO O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-DNI O
El DNI es 78064830; el titular Juan Quispe; nació el 14 de noviembre de 1994.,El DNI es 78064830 ; el titular Juan Quispe ; nació el 14 de noviembre de 1994 .,O O O B-DNI O O O B-NOMBRE B-APELLIDO O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"María Rojas Flores; dirección Calle Rojas 9077, Lima; DNI 92613013.","María Rojas Flores ; dirección Calle Rojas 9077 , Lima ; DNI 92613013 .",B-NOMBRE B-APELLIDO I-APELLIDO O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O B-DNI O
"Titular María Pérez Ramírez, documento 97873101, vive en Psje. Rojas 7344, Miraflores.","Titular María Pérez Ramírez , documento 97873101 , vive en Psje . Rojas 7344 , Miraflores .",O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Actualiza: Ana García Quispe, Calle García 3948, San Isidro, +51 999100953, 79182797.","Actualiza : Ana García Quispe , Calle García 3948 , San Isidro , + 51 999100953 , 79182797 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-TELEFONO I-TELEFONO I-TELEFONO O B-DNI O
"Datos: María Flores Rojas — 92043803 — +51 919774839 — Psje. Rojas 9531, Miraflores.","Datos : María Flores Rojas — 92043803 — + 51 919774839 — Psje . Rojas 9531 , Miraflores .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Contacto Lucía Flores Ramírez — +51 910744212 — Av. Rojas 3685, Miraflores — 98054615.","Contacto Lucía Flores Ramírez — + 51 910744212 — Av . Rojas 3685 , Miraflores — 98054615 .",O B-NOMBRE B-APELLIDO I-APELLIDO O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-DNI O
"Contacto Carlos Pérez Flores — +51 971265269 — Jr. Rojas 8802, Surco — 26288475.","Contacto Carlos Pérez Flores — + 51 971265269 — Jr . Rojas 8802 , Surco — 26288475 .",O B-NOMBRE B-APELLIDO I-APELLIDO O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-DNI O
Para el registro: Lucía Ramírez; DNI 77750178; tel +51 967276174.,Para el registro : Lucía Ramírez ; DNI 77750178 ; tel + 51 967276174 .,O O O O B-NOMBRE B-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
"Datos: Ana Pérez Rojas — 94120751 — +51 942111036 — Calle Rojas 1369, San Isidro.","Datos : Ana Pérez Rojas — 94120751 — + 51 942111036 — Calle Rojas 1369 , San Isidro .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Titular José Pérez García, documento 28572252, vive en Jr. Rojas 2603, Miraflores.","Titular José Pérez García , documento 28572252 , vive en Jr . Rojas 2603 , Miraflores .",O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
Soy Lucía Rojas Ramírez; DNI 18357162; fecha de nacimiento 5 de mayo de 2004.,Soy Lucía Rojas Ramírez ; DNI 18357162 ; fecha de nacimiento 5 de mayo de 2004 .,O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Formulario: Lucía Quispe Ramírez, 62343121, +51 966240084, Jr. Rojas 3695, San Isidro, nacido el 20 de julio de 1989.","Formulario : Lucía Quispe Ramírez , 62343121 , + 51 966240084 , Jr . Rojas 3695 , San Isidro , nacido el 20 de julio de 1989 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Actualiza: Juan Ramírez Rojas, Jr. Pérez 8851, Lima, +51 972732043, 32151928.","Actualiza : Juan Ramírez Rojas , Jr . Pérez 8851 , Lima , + 51 972732043 , 32151928 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-TELEFONO I-TELEFONO I-TELEFONO O B-DNI O
"Formulario: Carlos García, 96268397, +51 967527432, Jr. Rojas 3077, Lima, nacido el 2 de septiembre de 1981.","Formulario : Carlos García , 96268397 , + 51 967527432 , Jr . Rojas 3077 , Lima , nacido el 2 de septiembre de 1981 .",O O B-NOMBRE B-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
Soy José Quispe Ramírez; DNI 60885459; fecha de nacimiento 14 de noviembre de 1970.,Soy José Quispe Ramírez ; DNI 60885459 ; fecha de nacimiento 14 de noviembre de 1970 .,O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Contacto Carlos Quispe Flores — +51 919209801 — Av. García 4151, Miraflores — 97260863.","Contacto Carlos Quispe Flores — + 51 919209801 — Av . García 4151 , Miraflores — 97260863 .",O B-NOMBRE B-APELLIDO I-APELLIDO O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-DNI O
Mi nombre es Carlos Flores Rojas y mi DNI es 99853245.,Mi nombre es Carlos Flores Rojas y mi DNI es 99853245 .,O O O B-NOMBRE B-APELLIDO I-APELLIDO O O O O B-DNI O
"Formulario: Carlos Ramírez, 25372341, +51 931980274, Calle García 9581, Lima, nacido el 30 de diciembre de 1983.","Formulario : Carlos Ramírez , 25372341 , + 51 931980274 , Calle García 9581 , Lima , nacido el 30 de diciembre de 1983 .",O O B-NOMBRE B-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Formulario: Ana Rojas, 63238057, +51 936619372, Av. Pérez 4078, Lima, nacido el 10 de abril de 2001.","Formulario : Ana Rojas , 63238057 , + 51 936619372 , Av . Pérez 4078 , Lima , nacido el 10 de abril de 2001 .",O O B-NOMBRE B-APELLIDO O B-DNI O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Titular Ana García, documento 85958181, vive en Calle Pérez 7118, San Isidro.","Titular Ana García , documento 85958181 , vive en Calle Pérez 7118 , San Isidro .",O B-NOMBRE B-APELLIDO O O B-DNI O O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Ana Rojas Ramírez; teléfono +51 968186525; DNI 24165187; domicilio Calle Ramírez 7632, Miraflores.","Ana Rojas Ramírez ; teléfono + 51 968186525 ; DNI 24165187 ; domicilio Calle Ramírez 7632 , Miraflores .",B-NOMBRE B-APELLIDO I-APELLIDO O O B-TELEFONO I-TELEFONO I-TELEFONO O O B-DNI O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Ana Ramírez Quispe; dirección Psje. Rojas 7236, Surco; DNI 92666356.","Ana Ramírez Quispe ; dirección Psje . Rojas 7236 , Surco ; DNI 92666356 .",B-NOMBRE B-APELLIDO I-APELLIDO O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O B-DNI O
Para el registro: María García; DNI 47437115; tel +51 970505620.,Para el registro : María García ; DNI 47437115 ; tel + 51 970505620 .,O O O O B-NOMBRE B-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
Soy José Quispe Flores; DNI 75437844; fecha de nacimiento 28 de septiembre de 1996.,Soy José Quispe Flores ; DNI 75437844 ; fecha de nacimiento 28 de septiembre de 1996 .,O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Contacto José Pérez Flores — +51 942394260 — Psje. Rojas 9196, Miraflores — 21490777.","Contacto José Pérez Flores — + 51 942394260 — Psje . Rojas 9196 , Miraflores — 21490777 .",O B-NOMBRE B-APELLIDO I-APELLIDO O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-DNI O
"Actualiza: Ana Rojas, Calle Flores 6725, Miraflores, +51 922489409, 12314351.","Actualiza : Ana Rojas , Calle Flores 6725 , Miraflores , + 51 922489409 , 12314351 .",O O B-NOMBRE B-APELLIDO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-TELEFONO I-TELEFONO I-TELEFONO O B-DNI O
El DNI es 56138336; el titular Carlos Pérez Ramírez; nació el 3 de octubre de 1983.,El DNI es 56138336 ; el titular Carlos Pérez Ramírez ; nació el 3 de octubre de 1983 .,O O O B-DNI O O O B-NOMBRE B-APELLIDO I-APELLIDO O O O B-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC I-FECHA_NAC O
"Titular María Flores Quispe, documento 26046365, vive en Jr. Flores 3645, San Borja.","Titular María Flores Quispe , documento 26046365 , vive en Jr . Flores 3645 , San Borja .",O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Contacto Carlos Pérez — +51 947983442 — Av. Flores 4953, Miraflores — 90099897.","Contacto Carlos Pérez — + 51 947983442 — Av . Flores 4953 , Miraflores — 90099897 .",O B-NOMBRE B-APELLIDO O B-TELEFONO I-TELEFONO I-TELEFONO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-DNI O
"José Pérez Flores; dirección Av. Pérez 4886, Miraflores; DNI 46817443.","José Pérez Flores ; dirección Av . Pérez 4886 , Miraflores ; DNI 46817443 .",B-NOMBRE B-APELLIDO I-APELLIDO O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O O B-DNI O
"Actualiza: Juan Pérez, Psje. Rojas 5682, Miraflores, +51 973001391, 48163378.","Actualiza : Juan Pérez , Psje . Rojas 5682 , Miraflores , + 51 973001391 , 48163378 .",O O B-NOMBRE B-APELLIDO O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O B-TELEFONO I-TELEFONO I-TELEFONO O B-DNI O
"Titular Lucía García Rojas, documento 76001106, vive en Av. Flores 2544, Surco.","Titular Lucía García Rojas , documento 76001106 , vive en Av . Flores 2544 , Surco .",O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
"Registrar: María Rojas Pérez, DNI 90010790, celular +51 993002706.","Registrar : María Rojas Pérez , DNI 90010790 , celular + 51 993002706 .",O O B-NOMBRE B-APELLIDO I-APELLIDO O O B-DNI O O B-TELEFONO I-TELEFONO I-TELEFONO O
"Titular Carlos Quispe, documento 86320155, vive en Av. Pérez 1725, Miraflores.","Titular Carlos Quispe , documento 86320155 , vive en Av . Pérez 1725 , Miraflores .",O B-NOMBRE B-APELLIDO O O B-DNI O O O B-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION I-DIRECCION O
